Genome,jk18x11,jk18x1bz,jk18x22,jk18x25,jk18x27,jk18x34,jk18x40,jk18x44,jk18x7,jk18x8,jk18x9,jk18xA,p16x33,p16x34,p16x43,p16x44,p16x57,p16x60,p16x63,p16x65
jk18xAbins.46,0,0,0.034662213,0,0,0,0,0,0,0,0,0.22457889,0,0,0.028570099,0.007831026,0,0,0.025880767,0.0077260323
p16x34bins.36,0.013855536,0.021431299,0.014893316,0.036049537,0.13978791,0.11271119,0.03097581,0.015178409,0.0689083,0.02370192,0.06271881,0.012089107,0.21510923,0.28489745,0.07001787,0.045966677,0.12109397,0.0897109,0.08764428,0.21349974
jk18x25bins.41,0.014234133,0.012693187,0.12474788,0.19974218,0.027126307,0.0652963,0.066649,0,0.022785768,0.014511657,0.05110666,0,0.06288352,0.05208773,0.011588568,0,0.006616432,0.012544239,0,0
jk18x25bins.22,0.028268127,0,0.06500195,0.5081389,0.03507066,0.04350161,0.017495412,0,0.039070196,0.040768407,0.15510587,0.010106292,0.032562297,0.038880408,0.04580006,0.019202717,0.018850796,0.05585685,0.029064568,0.0155811645
jk18x9bins.33,0.11928642,0,0.042918082,0,0.11895154,0.15966456,0,0,0.38234085,0.1962429,0.94888693,0,0,0,0,0,0,0,0,0
p16x34bins.13,0,0,0.025681078,0.09358015,0.008725522,0.014168573,0,0,0.014892371,0,0,0.019200232,0.07560506,0.6214329,0.011090074,0,0,0,0,0
jk18x34bins.12,0.014825323,0,0.04615373,0.07132827,0.21219392,0.6104376,0.041140582,0.019405503,0.028797505,0.022040753,0.019653589,0.0074772504,0.14799531,0.07959045,0.033547062,0.008716855,0.10803613,0.093020774,0.07800652,0.010894398
jk18x1bzbins.74,0,0.3942653,0,0,0,0.017729519,0.024390237,0,0.012868515,0,0,0.0139836995,0.014039303,0,0.038071644,0.015632732,0,0.082039654,0,0
jk18x1bzbins.9,0,0.5201063,0.030214166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jk18xAbins.44,0.036630716,0.025260841,0,0.030915858,0.06997878,0,0.01349831,0,0.05343131,0.05199339,0.060311753,0.5772932,0.054502696,0.064197846,0.016250337,0.021130066,0,0,0.0123011265,0
jk18x9bins.53,0.10005774,0.058915954,0.01048454,0.028353859,0.009635059,0,0.034534115,0,0.25454006,0.16271512,0.51614547,0,0.059040517,0.031334996,0.0369033,0.010643608,0.0070744455,0.006314523,0,0
jk18x1bzbins.36,0,0.31250328,0.06617068,0,0,0,0.019361934,0,0,0,0,0.1207032,0,0,0,0,0,0,0,0
jk18x40bins.26,0.008159159,0.03906294,0.0074750977,0.023149492,0.007070078,0,0.5135495,0.078353666,0.014140288,0.012591434,0,0,0.04079372,0.021152781,0.022426168,0.0068728607,0,0,0,0
p16x65bins.10,0.016580315,0,0.31470954,0.044950385,0.03162626,1.2081025,0.21575585,0.21905564,0.09766486,0.016686974,0.068802655,0,0.03973187,0.11725605,0.27623242,0.10110855,0,0.031112326,0.56983644,0.39805838
jk18xAbins.51,0.16868225,0,0.052294184,0.07633264,4.3696456,7.635672,0,0,0.048718113,0.14402029,0,2.813502,0,0,0.08089115,0.06838065,0.15005636,0.16018392,6.552212,4.783563
jk18x1bzbins.7,0,0.43737426,0.033718325,0,0,0,0,0,0,0,0,0,0,0,0.028707458,0.00841888,0,0,0.027034644,0.008628714
